StationName,Lat,Lon
12J990_口湖工作站,23.589978,120.180400
12Q970_東港工作站,22.479997,120.466100
12Q980_恆春工作站,22.079678,120.714400
42HA10_萬大發電廠,23.978875,121.139600
72AI40_桃改樹林分場,24.944503,121.387000
72C440_桃園農改,24.950944,121.030600
72D080_桃改五峰分場,24.612194,121.157200
72D680_桃改新埔分場,24.834444,121.066100
72G600_臺中農改,24.003028,120.534400
72HA00_中改埔里分場,23.903208,120.963400
72K220_南改斗南分場,23.634556,120.477300
72M360_南改義竹分場,23.360694,120.279400
72M700_南改鹿草分場,23.416869,120.283100
72N100_臺南農改,23.060500,120.342200
72N240_七股研究中心,23.081672,120.062900
72Q010_高雄農改,22.709333,120.525900
72S200_東改班鳩分場,22.829528,121.077700
72S590_東改賓朗果園,22.813889,121.071300
72T250_花蓮農改,23.975222,121.563900
72U480_花改蘭陽分場,24.686306,121.716600
82C160_茶改場,24.908472,121.185330
82H840_茶改南部分場,23.758000,120.763000
82S580_茶改東部分場,22.905000,121.115000
A2K360_水試臺西試驗場,23.710000,120.180000
A2K630_臺大雲林校區,23.700000,120.430000
A2N290_臺南蘭花園區,23.339700,120.376500
B2E890_畜試北區分所,24.520000,120.760000
CAQ030_崎峰國小,22.420000,120.500000
E2P980_林試六龜中心,22.960000,120.640000
E2P990_林試扇平站,22.967700,120.685703
G2F820_農業試驗所,24.031261,120.688100
G2L020_農試嘉義分所,23.485028,120.473800
G2M350_農試溪口農場,23.585900,120.408300
G2P820_農試鳳山分所,22.645211,120.359809
K2F750_種苗繁殖場,24.205000,120.803000
